step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
420000,1176583,1185333.22,1174591.16,1203778.80,1176269.28,1123847.69,1097661.87,1147316.44,1208471.95,1203312.11,1183213.29,1225143.13,1216852.53,1206809.90,1163978.77,1218630.00,1166346.13,1104212.90,1232914.71,1153148.41,1171804.26,1110538.95,1277979.45,1164948.15,1135412.19,1133039.78,1140648.25,1112794.15,1192969.65,1131086.07,1154966.53
430000,1204491,1219429.06,1212322.33,1242317.00,1201427.99,1152061.79,1134908.79,1181961.29,1233442.82,1234759.42,1211023.26,1246595.29,1233894.26,1237637.87,1204174.01,1252491.67,1184595.03,1136058.57,1248079.23,1178619.00,1192921.15,1137845.22,1290032.43,1187551.31,1152403.66,1154248.86,1179714.16,1142448.96,1216176.31,1145941.51,1172900.02
440000,1232327,1248453.41,1233831.09,1271866.25,1224862.09,1179280.42,1182445.75,1215025.26,1262598.66,1266386.65,1239209.81,1268877.13,1262202.38,1274331.45,1238812.58,1276959.55,1213629.76,1186701.25,1261513.76,1240121.50,1219961.18,1161343.44,1343936.39,1231069.52,1178515.56,1182221.00,1203689.18,1164624.28,1233598.38,1185135.95,1214142.17
450000,1260162,1264716.28,1258927.29,1287877.41,1238712.34,1212014.45,1219969.63,1242028.26,1286630.58,1294190.53,1267375.79,1285980.54,1291334.54,1305993.27,1266490.41,1305501.52,1239204.00,1218143.76,1296103.50,1273155.96,1272376.66,1198269.31,1378354.67,1265231.58,1209823.04,1207622.06,1237363.38,1187627.64,1249284.93,1219250.31,1252018.60
460000,1287950,1276436.97,1284128.28,1311864.66,1249906.53,1245394.29,1258414.11,1278970.01,1317282.67,1328354.55,1288935.54,1319970.69,1316081.30,1330344.80,1303979.11,1327870.86,1260658.11,1232424.19,1313988.81,1303762.38,1306727.55,1238305.26,1396194.10,1299431.27,1240962.61,1232687.86,1259249.45,1212462.87,1281056.97,1236298.00,1295809.36
470000,1315868,1301615.01,1307042.57,1331621.60,1294071.10,1280661.18,1282750.56,1310900.33,1341842.80,1345756.15,1327100.12,1334916.84,1349134.44,1369797.52,1330619.63,1366948.36,1288074.24,1250539.35,1332338.77,1329010.24,1335558.77,1258127.59,1432507.25,1323377.26,1283637.25,1276330.04,1280945.38,1244881.57,1313406.36,1263201.36,1337497.00
480000,1343615,1320478.63,1331717.85,1351705.91,1318958.99,1305805.45,1301223.51,1334285.36,1364698.17,1366178.13,1350556.07,1367168.03,1362686.51,1394644.14,1359835.31,1388334.98,1318234.21,1280502.32,1378735.17,1356308.65,1352485.58,1271209.11,1453703.79,1342683.66,1298720.60,1303169.40,1303264.80,1269220.93,1347578.54,1279125.91,1357832.42
490000,1371349,1342697.03,1353523.36,1385248.38,1349643.24,1333768.71,1319497.47,1366807.45,1402522.29,1383469.80,1359753.92,1408588.72,1380466.41,1426506.05,1410261.79,1403445.61,1340648.70,1295443.86,1423648.48,1385279.87,1370396.69,1312068.89,1470061.11,1374953.01,1331048.86,1333635.68,1329831.19,1297210.24,1365114.39,1303711.42,1378049.88
500000,1399075,1358221.18,1383736.20,1418077.34,1379498.60,1369628.79,1341950.76,1400756.37,1424717.69,1407097.97,1390902.81,1462875.91,1414782.38,1451257.54,1435903.93,1438635.57,1390182.81,1326180.42,1463626.22,1408369.30,1397786.05,1334488.20,1506995.07,1393958.58,1381672.88,1373210.57,1359926.64,1320175.52,1407627.05,1329688.90,1398913.07
510000,1426893,1379938.92,1415864.87,1450987.76,1405329.55,1398800.07,1362181.59,1441704.51,1443154.52,1427214.68,1398840.21,1480724.49,1441303.55,1481390.03,1461675.54,1472262.66,1404336.85,1332891.88,1475951.08,1422446.47,1434972.84,1367718.86,1530731.57,1421083.01,1419785.13,1421789.13,1400061.40,1346591.05,1423490.21,1353829.26,1438037.58
520000,1454744,1399315.82,1452114.07,1477484.95,1442882.15,1423885.16,1380987.38,1454932.18,1487148.66,1443819.59,1417501.39,1493587.99,1462849.58,1497108.64,1479229.46,1494706.35,1441122.32,1354317.00,1504107.15,1451042.24,1470405.57,1394921.62,1574577.46,1453751.80,1453587.43,1432069.31,1432940.92,1367982.77,1445093.27,1391260.04,1454640.32
530000,1482488,1429493.10,1479138.67,1507281.42,1480767.73,1467586.05,1400497.92,1486645.99,1514601.78,1494140.44,1453782.15,1517202.87,1498169.95,1530235.96,1496486.14,1528575.19,1462230.95,1380098.78,1526645.12,1474549.38,1525720.84,1435181.12,1600483.11,1492634.04,1478854.28,1450868.18,1467706.36,1396120.60,1475165.43,1432060.90,1484469.74
540000,1510356,1453919.55,1502432.06,1532377.39,1511136.09,1499860.03,1438917.44,1497976.97,1555863.82,1520417.76,1494479.37,1554400.84,1531013.33,1539178.62,1532520.79,1553976.66,1477149.55,1401981.54,1548923.38,1511619.76,1559649.63,1454574.89,1619696.88,1525373.47,1505724.45,1487837.45,1485183.54,1414062.38,1513862.31,1468893.51,1519454.74
550000,1538219,1479811.42,1540145.11,1572327.08,1553400.02,1511766.15,1461339.87,1536202.28,1580900.01,1547406.16,1522323.33,1602493.50,1543312.99,1552470.83,1567450.44,1599016.14,1494041.82,1418610.59,1570440.65,1529172.65,1590408.17,1472329.70,1648602.08,1539219.37,1526003.33,1515548.15,1515735.17,1438840.02,1538026.34,1508911.31,1550669.66
560000,1565971,1491804.54,1566028.67,1597281.71,1580018.38,1549421.70,1489339.08,1577609.87,1606826.80,1574462.07,1552440.41,1624359.44,1576931.99,1570679.61,1585925.51,1631952.87,1516114.43,1450643.69,1598115.41,1544809.01,1623148.88,1496085.20,1664619.41,1577958.27,1542835.50,1535617.92,1531439.87,1458462.34,1585435.16,1546326.41,1582789.92
570000,1593691,1508437.98,1592368.11,1623227.45,1604173.10,1572749.24,1523337.22,1607207.78,1627209.49,1599472.14,1567379.50,1660975.90,1595606.87,1590839.70,1594505.36,1652209.97,1538633.83,1487037.35,1617113.58,1584238.74,1645835.64,1525069.19,1734459.86,1612805.54,1568294.81,1566615.50,1557353.67,1501175.88,1608769.86,1576556.59,1616137.12
580000,1621425,1534618.46,1629304.80,1648519.32,1632784.46,1615807.50,1555544.59,1636421.82,1650419.74,1635989.28,1595716.54,1702436.20,1606527.03,1618609.41,1627095.86,1695772.66,1569151.35,1523268.76,1660943.25,1609490.94,1679441.06,1564188.97,1784723.37,1619107.67,1591060.14,1588528.69,1577196.08,1526055.51,1632532.54,1589818.93,1643166.65
590000,1649295,1567247.73,1670806.43,1688056.60,1649208.24,1623409.56,1596830.58,1659678.45,1667426.60,1669527.44,1637471.18,1714461.34,1646266.56,1641685.49,1651269.41,1731046.68,1595082.82,1546727.18,1679648.91,1642812.29,1702773.74,1580465.18,1832680.81,1631699.52,1628795.64,1615900.61,1622195.44,1549308.83,1658895.21,1608566.94,1660580.32
600000,1677019,1593423.40,1715078.85,1704090.91,1690047.07,1637556.64,1619444.43,1681304.65,1692880.61,1698971.96,1677347.18,1724612.83,1674931.78,1670316.78,1666272.80,1759714.76,1618651.57,1574866.60,1715376.39,1684505.06,1747206.26,1600801.25,1896341.64,1672695.92,1651035.84,1645051.75,1648332.39,1567902.18,1674944.18,1639864.94,1678423.91
610000,1704790,1625995.93,1738381.30,1722347.77,1731562.18,1670088.79,1643195.19,1700824.86,1719093.95,1741119.62,1710254.59,1749188.13,1715197.20,1697807.76,1697330.80,1780597.31,1646464.57,1591980.93,1730967.73,1712424.55,1785126.52,1609961.92,1924328.56,1705889.34,1667044.60,1652408.12,1680499.55,1607973.55,1701053.56,1670120.48,1701728.15
620000,1732609,1650741.70,1766030.26,1769637.78,1745540.83,1703998.37,1661947.16,1730062.89,1733356.51,1761427.43,1725001.02,1787126.86,1771277.26,1722375.85,1722813.60,1813979.71,1690882.10,1619128.76,1766790.88,1746290.14,1806818.00,1633113.47,1944734.90,1748416.06,1713424.50,1666646.56,1715936.95,1655277.12,1741497.08,1683407.09,1739602.79
630000,1760377,1669385.84,1802908.21,1785205.46,1749487.00,1746121.76,1692625.62,1760918.47,1761631.59,1800105.18,1748390.50,1818566.80,1785778.38,1753847.97,1767767.59,1833526.45,1708855.54,1645494.23,1780385.73,1777924.02,1839814.94,1673064.62,1997091.47,1783686.67,1741262.16,1702110.21,1746933.20,1678108.83,1753057.72,1718282.53,1787446.91
640000,1788143,1726713.55,1848611.85,1805910.36,1782680.77,1782324.83,1732361.57,1790139.83,1788160.49,1838862.12,1759542.80,1846783.10,1808476.04,1780461.25,1788455.17,1865369.49,1736147.96,1684540.87,1816304.97,1829558.97,1871029.90,1724516.63,2026184.48,1811883.10,1761326.60,1716983.81,1772506.26,1700115.41,1773019.47,1742469.49,1827625.93
650000,1815982,1778245.27,1872945.75,1826684.10,1836501.66,1798770.74,1748758.58,1808248.50,1797206.38,1862482.87,1801997.83,1863042.94,1820042.63,1803154.42,1806397.79,1896556.70,1763007.10,1724854.55,1855648.56,1882134.10,1882410.81,1767862.75,2051781.74,1830199.82,1784431.43,1726563.03,1784644.47,1721512.70,1804864.85,1770886.77,1866938.79
660000,1843774,1808107.15,1892922.45,1857242.35,1857793.29,1818189.61,1790300.13,1835002.22,1833432.57,1886323.04,1843647.40,1873617.36,1842459.19,1838297.83,1842956.37,1912212.30,1784482.67,1773664.99,1887048.10,1897188.00,1916175.36,1811520.07,2075170.95,1869377.63,1803408.90,1774707.96,1813934.03,1748133.47,1845220.63,1813665.15,1891255.01
670000,1871467,1843533.71,1914809.71,1883989.32,1899922.40,1845482.29,1808346.01,1888111.15,1852224.47,1920257.27,1861669.92,1893970.63,1879650.73,1881179.94,1875006.41,1940216.89,1807675.00,1810286.55,1905456.74,1946772.45,1958156.48,1830539.71,2114246.92,1878170.19,1823868.64,1795494.15,1862794.89,1768093.07,1854168.69,1844472.60,1907428.85
680000,1899282,1881269.28,1942376.53,1913216.69,1927734.42,1881811.10,1827838.34,1925183.72,1874097.14,1965301.34,1880333.85,1912385.97,1907382.35,1905211.01,1915443.37,1977093.07,1824728.76,1839674.49,1956813.12,1957857.06,1991109.84,1861368.11,2134848.13,1901977.81,1837882.03,1813114.14,1879303.50,1796837.49,1863940.41,1870391.06,1919853.59
690000,1927054,1916957.19,1962936.02,1931840.46,1945304.93,1905565.01,1858435.54,1956795.60,1909363.63,1981899.31,1910957.72,1954498.31,1929832.85,1933160.35,1946121.47,2012449.33,1862408.44,1847637.50,1961619.49,1982307.18,2031464.43,1889784.32,2165424.29,1931468.97,1873023.24,1820312.88,1901313.09,1825049.81,1903640.21,1892543.75,1937507.50
700000,1954820,1947679.40,1975742.09,1947416.08,1974156.80,1924216.97,1884176.95,1990962.85,1926749.29,2026014.13,1934474.96,1990003.28,1960395.07,1955144.05,1987284.01,2053850.22,1895344.12,1871361.92,1997708.36,1998206.56,2049840.06,1936039.72,2200452.50,1961034.39,1884141.66,1861930.25,1929419.85,1834108.51,1934278.37,1911761.25,1985441.91
710000,1982509,1986375.29,2002428.82,1981075.38,1999063.71,1951595.67,1913484.13,2021690.64,1948586.60,2048985.19,1965965.82,2025785.54,1983711.24,1970235.30,2016336.20,2069473.12,1937733.78,1897719.70,2013958.51,2010335.19,2089897.91,1953608.49,2225374.17,2002351.01,1930870.54,1892531.31,1970105.46,1860293.46,1964359.04,1945869.93,2019513.28
720000,2010278,2023182.71,2024286.39,2005223.99,2006882.46,1975026.67,1954882.93,2053126.34,1984272.68,2054681.85,2010018.96,2063093.04,1999734.19,2002738.87,2067093.92,2108523.57,1959201.85,1923578.07,2034982.08,2033942.41,2126472.04,1957779.64,2241847.77,2034436.64,1950494.16,1915372.17,1972145.62,1895545.35,1988338.89,1974108.84,2033279.46
730000,2038043,2036161.48,2078226.87,2032468.33,2044672.04,1982380.35,1973111.38,2101108.56,2007115.71,2084787.44,2038988.70,2095019.65,2024756.54,2015045.75,2084498.09,2163714.39,1994397.37,1948865.21,2069600.16,2053171.57,2133067.70,1995976.37,2270424.97,2058028.46,1989682.80,1937633.08,1979947.79,1927120.72,2031284.74,1990936.58,2067234.83
740000,2065739,2072553.61,2115828.64,2056398.49,2054758.45,2008432.94,2013223.46,2131131.86,2030157.80,2109029.45,2061827.91,2102224.32,2041452.20,2027587.83,2101038.21,2188845.95,2016386.88,1964094.23,2081169.46,2071109.67,2150063.98,2033561.29,2297392.68,2086736.83,2011997.02,1985653.40,2017049.13,1950117.87,2051822.92,2020673.52,2111217.85
750000,2093488,2094293.46,2134434.73,2078147.82,2088207.47,2038866.70,2032728.42,2168226.72,2056058.94,2127881.35,2088416.64,2120590.87,2068313.54,2061909.75,2121563.36,2201081.43,2049436.40,1981821.22,2090130.18,2091051.47,2195429.44,2054795.76,2330589.85,2126710.36,2024790.82,2033929.36,2032281.93,1964976.58,2064139.87,2040828.37,2126267.30
760000,2121265,2142132.15,2146626.07,2118786.68,2106149.67,2086100.14,2049323.08,2201778.79,2086886.62,2159245.07,2113014.10,2147771.79,2099178.81,2083250.40,2148536.28,2242297.49,2097533.02,1996846.71,2102622.54,2114898.10,2222628.70,2096379.94,2352625.88,2146205.19,2058974.50,2061015.29,2040825.75,1990310.74,2092931.73,2062247.88,2169874.67
770000,2149074,2163353.98,2171479.00,2148831.30,2147063.85,2105247.20,2072135.52,2215571.48,2098806.22,2169082.31,2157929.85,2175706.34,2133895.04,2112221.18,2170765.76,2263114.81,2141438.78,2036431.02,2132115.48,2129725.40,2244593.27,2131943.35,2386875.13,2177349.23,2087357.42,2088661.66,2073949.33,2025811.44,2121356.01,2098941.76,2181345.69
