step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
300000,842017,828419.73,831855.91,851512.07,844452.89,849229.60,845901.51,841342.48,838092.01,845290.05,849639.11,870392.01,842716.80,844610.75,830440.43,850379.87,837902.46,848365.36,833791.20,854668.31,835931.40,843397.32,826749.55,830833.37,829056.82,858141.32,849749.73,858704.94,843697.83,839329.22,850922.24
310000,869826,853098.57,857217.47,879411.39,873180.20,876203.96,870988.91,869427.71,865021.63,873284.23,877120.73,904046.04,869316.97,865746.73,858366.15,882238.62,869090.82,874707.44,862942.68,882149.74,862930.66,877354.67,853815.40,858677.63,856927.13,885177.25,873619.26,886079.83,870852.96,870016.26,878926.90
320000,897763,884125.82,883592.20,905932.02,900087.36,905654.29,897884.15,893739.22,892610.29,903109.03,905130.10,931016.32,900769.04,890357.27,884886.01,915816.03,894648.22,900419.91,891132.98,908782.30,889150.99,905921.34,879410.13,884040.07,888295.96,914219.25,902535.18,915235.93,896275.07,899410.91,905314.50
330000,925636,910700.69,909037.77,933154.42,926880.94,930562.34,925818.73,921960.01,922747.10,932790.70,933601.01,962483.86,928238.31,916749.93,910626.78,946413.60,921529.61,927602.18,919498.33,941525.04,917247.24,934255.68,903573.32,913515.34,910114.48,946573.16,930886.16,939623.83,922521.92,927991.93,932764.70
340000,953469,933421.33,934214.79,959752.46,953945.09,953150.54,954279.58,951263.28,952152.53,953481.34,957018.87,990991.53,957363.98,942694.14,939584.74,975373.11,949455.34,957052.69,946695.94,973605.37,943708.57,963193.97,930256.27,941301.79,936313.96,977661.08,955039.98,965610.64,948613.53,957541.25,954319.85
350000,981360,963487.28,962681.07,985112.13,981124.07,979869.95,997175.52,978849.18,980224.83,980253.49,982357.12,1017611.94,986735.28,971285.44,964617.81,1011414.46,980272.86,980644.52,980804.51,1003227.34,972002.57,991054.62,961121.42,968964.40,965209.52,1000374.61,978428.69,991716.40,978140.22,989062.33,981630.00
360000,1009182,989541.00,986890.93,1010763.01,1010403.71,1003768.27,1023429.54,1007664.39,1008750.09,1010470.92,1012340.18,1045250.06,1011723.92,1004062.87,994089.14,1038729.29,1006595.91,1008872.37,1011322.37,1028989.10,1005477.41,1020770.12,985869.58,995366.11,995592.11,1027659.55,1002674.82,1016635.58,1012205.93,1014415.20,1010131.56
370000,1036998,1017363.53,1013240.65,1039749.67,1037481.99,1035581.75,1053324.01,1029871.74,1033668.81,1037943.98,1036884.13,1071795.43,1036793.30,1030962.70,1020543.45,1067396.25,1038101.58,1037730.81,1039743.43,1059514.47,1032889.15,1048291.48,1010845.42,1019517.52,1022355.18,1061016.63,1029369.87,1046846.59,1038662.43,1042042.42,1037987.61
380000,1064912,1044997.10,1040324.29,1069420.29,1066147.46,1064712.56,1080745.53,1055228.27,1063070.97,1064324.86,1061901.26,1096518.43,1066991.23,1062759.31,1052381.96,1095059.93,1068420.69,1062349.30,1066857.52,1088940.40,1061989.55,1072302.97,1038592.05,1049013.47,1051649.86,1088713.88,1059689.06,1074527.02,1064589.09,1067911.49,1067884.64
390000,1092767,1075345.29,1071582.43,1094169.38,1098521.58,1092561.18,1106564.51,1083197.72,1090991.24,1088723.48,1090126.35,1129682.98,1096802.59,1089679.62,1075053.39,1122907.90,1093309.89,1096890.80,1096552.14,1109497.43,1085280.18,1100510.82,1061931.17,1072474.10,1074912.88,1115503.44,1085074.13,1102719.35,1089032.49,1094442.91,1097619.03
